"SKU","Model","ProductType","Status","ExistingURL","ProposedURL","CandidateURLs"
"BA02 011 5901 US","BGA 86","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-86-unit-only-29386229b","https://www.westendpower.com/new-models/stihl-bga-86-set-wbattery-charger-29386233b | https://www.westendpower.com/new-models/stihl-bga-86-unit-only-29386229b"
"BA02 211 0000 US","BGA 86","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-86-set-wbattery-charger-29386233b","https://www.westendpower.com/new-models/stihl-bga-86-set-wbattery-charger-29386233b | https://www.westendpower.com/new-models/stihl-bga-86-unit-only-29386229b"
"BA02 200 0010","BGA 86","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-86-set-wbattery-charger-29386233b","https://www.westendpower.com/new-models/stihl-bga-86-set-wbattery-charger-29386233b | https://www.westendpower.com/new-models/stihl-bga-86-unit-only-29386229b"
"4866 011 5901 US","BGA 100","Tool","No catalog page","","",""
"BA09 011 5901 US","BGA 160","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-160-unit-only-29386284b","https://www.westendpower.com/new-models/stihl-bga-160-set-wbattery-charger-29386291b | https://www.westendpower.com/new-models/stihl-bga-160-unit-only-29386284b"
"BA09 011 5910 US","BGA 160","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-160-set-wbattery-charger-29386291b","https://www.westendpower.com/new-models/stihl-bga-160-set-wbattery-charger-29386291b | https://www.westendpower.com/new-models/stihl-bga-160-unit-only-29386284b"
"BA01 011 5901 US","BGA 200","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-200-unit-only-29386304b","https://www.westendpower.com/new-models/stihl-bga-200-unit-only-29386304b"
"BA06 011 5901 US","BGA 250","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-250-unit-only-29386294b","https://www.westendpower.com/new-models/stihl-bga-250-unit-only-29386294b"
"BA03 011 5911 US","BGA 300","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-300-unit-only-29386356b","https://www.westendpower.com/new-models/stihl-bga-300-unit-only-29386356b"
"BA11 011 5901 US","BRA 200","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bra-200-unit-only-29386359b","https://www.westendpower.com/new-models/stihl-bra-200-unit-only-29386359b"
"BA11 011 5931 US","BRA 200","Kit","Review variant","","","https://www.westendpower.com/new-models/stihl-bra-200-unit-only-29386359b"
"BA11 011 5921 US","BRA 280","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bra-280-unit-only-29386362b","https://www.westendpower.com/new-models/stihl-bra-280-set-wbattery-charger-29386366b | https://www.westendpower.com/new-models/stihl-bra-280-unit-only-29386362b"
"BA11 011 5951 US","BRA 280","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-bra-280-set-wbattery-charger-29386366b","https://www.westendpower.com/new-models/stihl-bra-280-set-wbattery-charger-29386366b | https://www.westendpower.com/new-models/stihl-bra-280-unit-only-29386362b"
"BA07 011 5901 US","BRA 500","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bra-500-unit-only-29386345b","https://www.westendpower.com/new-models/stihl-bra-500-unit-only-29386345b"
"BA07 011 5911 US","BRA 600","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bra-600-unit-only-29386347b","https://www.westendpower.com/new-models/stihl-bra-600-unit-only-29386347b"
"4852 011 5702 US","FSA 65","Tool","No catalog page","","",""
"FA05 011 5701 US","FSA 86 R","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-86-r-unit-only-29386012b","https://www.westendpower.com/new-models/stihl-fsa-86-r-unit-only-29386012b"
"FA07 011 5721 US","FSA 110 R","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-110-r-unit-only-29386135b","https://www.westendpower.com/new-models/stihl-fsa-110-r-unit-only-29386135b"
"FA08 200 0006 US","FSA 120 R","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-120-r-unit-only-29386145b","https://www.westendpower.com/new-models/stihl-fsa-120-r-unit-only-29386145b"
"FA08 011 5772 US","FSA 120 R","Kit","Review variant","","","https://www.westendpower.com/new-models/stihl-fsa-120-r-unit-only-29386145b"
"FA08 011 5761 US","FSA 120","Kit","No catalog page","","",""
"FA01 200 0011 US","FSA 135 R","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-135-r-unit-only-29385671b","https://www.westendpower.com/new-models/stihl-fsa-135-r-unit-only-29385671b"
"FA01 200 0006 US","FSA 135","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-135-unit-only-29386011b","https://www.westendpower.com/new-models/stihl-fsa-135-unit-only-29386011b"
