"SKU","Model","ProductType","Status","ExistingURL","ProposedURL","CandidateURLs"
"BA08 011 5902 US","BGA 30","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-30-unit-only-29386321b","https://www.westendpower.com/new-models/stihl-bga-30-set-w2x-as-2-batteries-al-1-charger-29386327b | https://www.westendpower.com/new-models/stihl-bga-30-unit-only-29386321b"
"BA08 011 5912 US","BGA 30","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-30-set-w2x-as-2-batteries-al-1-charger-29386327b","https://www.westendpower.com/new-models/stihl-bga-30-set-w2x-as-2-batteries-al-1-charger-29386327b | https://www.westendpower.com/new-models/stihl-bga-30-unit-only-29386321b"
"BA05 011 5901 US","BGA 50","Tool","Review variant","","","https://www.westendpower.com/new-models/stihl-bga-50-set-wbattery-charger-29386354b"
"BA05 011 5919 US","BGA 50","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-50-set-wbattery-charger-29386354b","https://www.westendpower.com/new-models/stihl-bga-50-set-wbattery-charger-29386354b"
"4523 011 5961 US","BGA 57","Tool","No catalog page","","",""
"BA04 011 5901 US","BGA 60","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-60-unit-only-29386220b","https://www.westendpower.com/new-models/stihl-bga-60-set-wbattery-charger-29386228b | https://www.westendpower.com/new-models/stihl-bga-60-unit-only-29386220b"
"BA04 011 5941 US","BGA 60","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-bga-60-set-wbattery-charger-29386228b","https://www.westendpower.com/new-models/stihl-bga-60-set-wbattery-charger-29386228b | https://www.westendpower.com/new-models/stihl-bga-60-unit-only-29386220b"
"FA10 011 5701 US","FSA 30","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-30-unit-only-29386209b","https://www.westendpower.com/new-models/stihl-fsa-30-set-wbattery-charger-29386214b | https://www.westendpower.com/new-models/stihl-fsa-30-unit-only-29386209b"
"FA10 011 5711 US","FSA 30","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-30-set-wbattery-charger-29386214b","https://www.westendpower.com/new-models/stihl-fsa-30-set-wbattery-charger-29386214b | https://www.westendpower.com/new-models/stihl-fsa-30-unit-only-29386209b"
"FA11 011 5711 US","FSA 50","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-50-set-wbattery-charger-29385606b","https://www.westendpower.com/new-models/stihl-fsa-50-set-wbattery-charger-29385606b"
"FA04 011 5701 US","FSA 60 R","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-60-r-unit-only-29385629b","https://www.westendpower.com/new-models/stihl-fsa-60-r-set-wbattery-charger-29385639b | https://www.westendpower.com/new-models/stihl-fsa-60-r-unit-only-29385629b"
"FA04 011 5741 US","FSA 60 R","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-60-r-set-wbattery-charger-29385639b","https://www.westendpower.com/new-models/stihl-fsa-60-r-set-wbattery-charger-29385639b | https://www.westendpower.com/new-models/stihl-fsa-60-r-unit-only-29385629b"
"FA07 011 5701 US","FSA 70 R","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-70-r-unit-only-29385647b","https://www.westendpower.com/new-models/stihl-fsa-70-r-set-wbattery-charger-29385641b | https://www.westendpower.com/new-models/stihl-fsa-70-r-unit-only-29385647b"
"FA07 011 5711 US","FSA 70 R","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-70-r-set-wbattery-charger-29385641b","https://www.westendpower.com/new-models/stihl-fsa-70-r-set-wbattery-charger-29385641b | https://www.westendpower.com/new-models/stihl-fsa-70-r-unit-only-29385647b"
"FA08 011 5721 US","FSA 80 R","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-80-r-unit-only-29385652b","https://www.westendpower.com/new-models/stihl-fsa-80-r-set-wbattery-charger-29385665b | https://www.westendpower.com/new-models/stihl-fsa-80-r-unit-only-29385652b"
"FA08 011 5731 US","FSA 80 R","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-80-r-set-wbattery-charger-29385665b","https://www.westendpower.com/new-models/stihl-fsa-80-r-set-wbattery-charger-29385665b | https://www.westendpower.com/new-models/stihl-fsa-80-r-unit-only-29385652b"
"FA08 011 5701 US","FSA 80","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-80-unit-only-29385659b","https://www.westendpower.com/new-models/stihl-fsa-80-set-wbattery-charger-29385661b | https://www.westendpower.com/new-models/stihl-fsa-80-unit-only-29385659b"
"FA08 011 5711 US","FSA 80","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-fsa-80-set-wbattery-charger-29385661b","https://www.westendpower.com/new-models/stihl-fsa-80-set-wbattery-charger-29385661b | https://www.westendpower.com/new-models/stihl-fsa-80-unit-only-29385659b"
"GA01 011 6906 US","GTA 26","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-gta-26-unit-only-battery-garden-pruner-29386371b","https://www.westendpower.com/new-models/stihl-gta-26-extension-29387473b | https://www.westendpower.com/new-models/stihl-gta-26-set-wbattery-charger-garden-pruner-29386368b | https://www.westendpower.com/new-models/stihl-gta-26-unit-only-battery-garden-pruner-29386371b"
"GA01 011 6911 US","GTA 26","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-gta-26-set-wbattery-charger-garden-pruner-29386368b","https://www.westendpower.com/new-models/stihl-gta-26-extension-29387473b | https://www.westendpower.com/new-models/stihl-gta-26-set-wbattery-charger-garden-pruner-29386368b | https://www.westendpower.com/new-models/stihl-gta-26-unit-only-battery-garden-pruner-29386371b"
"GA05 011 6911 US","GTA 30","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-gta-30-set-wbatteries-charger-garden-pruner-29386380b","https://www.westendpower.com/new-models/stihl-gta-30-set-wbatteries-charger-garden-pruner-29386380b"
"GA04 011 6901 US","GTA 40","Tool","Ready to add","","https://www.westendpower.com/new-models/stihl-gta-40-unit-only-battery-garden-pruner-29386382b","https://www.westendpower.com/new-models/stihl-gta-40-set-wbatteries-charger-garden-pruner-29386383b | https://www.westendpower.com/new-models/stihl-gta-40-unit-only-battery-garden-pruner-29386382b"
"GA04 011 6911 US","GTA 40","Kit","Ready to add","","https://www.westendpower.com/new-models/stihl-gta-40-set-wbatteries-charger-garden-pruner-29386383b","https://www.westendpower.com/new-models/stihl-gta-40-set-wbatteries-charger-garden-pruner-29386383b | https://www.westendpower.com/new-models/stihl-gta-40-unit-only-battery-garden-pruner-29386382b"
