"SKU","Model","Status","CurrentImageURL","ProposedImageURL","ImageSource","ProductPage"
"BA02 011 5901 US","BGA 86","Existing image retained","images/Products/BGA86.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bga-86-unit-only-29386229b"
"BA02 211 0000 US","BGA 86","Existing image retained","images/Products/BGA86.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bga-86-unit-only-29386229b"
"4866 011 5901 US","BGA 100","Existing image retained","images/Products/BGA100.jpg","","",""
"BA09 011 5901 US","BGA 160","Existing image retained","images/Products/BGA160.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bga-160-unit-only-29386284b"
"BA09 011 5910 US","BGA 160","Existing image retained","images/Products/BGA160.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bga-160-unit-only-29386284b"
"BA01 011 5901 US","BGA 200","Existing image retained","images/Products/BGA200.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bga-200-unit-only-29386304b"
"BA06 011 5901 US","BGA 250","Existing image retained","images/Products/BGA250.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bga-250-unit-only-29386294b"
"BA03 011 5911 US","BGA 300","Existing image retained","images/Products/BGA300.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bga-300-unit-only-29386356b"
"BA11 011 5901 US","BRA 200","Existing image retained","images/Products/BRA200.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bra-200-unit-only-29386359b"
"BA11 011 5931 US","BRA 200","Existing image retained","images/Products/BRA200.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bra-200-unit-only-29386359b"
"BA11 011 5921 US","BRA 280","Existing image retained","images/Products/BRA280.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bra-280-unit-only-29386362b"
"BA11 011 5951 US","BRA 280","Existing image retained","images/Products/BRA280.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bra-280-unit-only-29386362b"
"BA07 011 5901 US","BRA 500","Existing image retained","images/Products/BRA500.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bra-500-unit-only-29386345b"
"BA07 011 5911 US","BRA 600","Existing image retained","images/Products/BRA600.jpg","","Product JSON-LD","https://www.westendpower.com/new-models/stihl-bra-600-unit-only-29386347b"
"4852 011 5702 US","FSA 65","No catalog page","","","",""
"FA05 011 5701 US","FSA 86 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/c16e2aa1-1084-4219-b063-3f2be8fe4937.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-86-r-unit-only-29386012b"
"FA07 011 5721 US","FSA 110 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/71d1681b-fe77-42c2-82ee-4ca9dc90ba8f.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-110-r-unit-only-29386135b"
"FA08 200 0006 US","FSA 120 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/48a55830-6e0e-441c-bfb4-af4a55333e6f.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-120-r-unit-only-29386145b"
"FA08 011 5772 US","FSA 120 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/48a55830-6e0e-441c-bfb4-af4a55333e6f.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-120-r-unit-only-29386145b"
"FA08 011 5761 US","FSA 120","No catalog page","","","",""
"FA01 200 0011 US","FSA 135 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/f5aec94f-3b14-4360-bf50-246909a19ba1.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-135-r-unit-only-29385671b"
"FA01 200 0006 US","FSA 135","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/ed49a451-8d57-46ff-8823-4e9d998c4cbb.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-135-unit-only-29386011b"
"FA03 200 0008 US","FSA 200 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/e882f6c8-784e-4f46-85c7-2cd6f0c0b837.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-200-r-unit-only-29386159b"
"FA03 200 0004 US","FSA 200","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/6f0fd546-9d21-400a-9208-071fb02aad81.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-200-unit-only-29386166b"
"FA09 200 0010 US","FSA 400","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/2908d4c2-38c4-46da-b28b-bf443726d751.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-400-unit-only-29386170b"
"FA09 200 0011 US","FSA 400 K","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/4011c1d9-1907-4d10-97e3-cb7e0e87097d.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-fsa-400-k-unit-only-29386177b"
"4859 011 2911 US","HLA 66","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/65ecf239-4a2d-4cd4-a0e9-40b3a4225f25.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hla-66-unit-only-battpowered-extended-reach-29386163b"
"4859 011 2931 US","HLA 86","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/0722e723-5eb3-4d6a-8ef2-df149ad848cb.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hla-86-unit-only-battery-powered-extended-reach-29386168b"
"HA04 200 0008 US","HLA 135 K","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/80ca7bec-9c1b-4ea6-9f74-321543cedaec.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hla-135-k-0-unit-batt-powered-extended-reach-29386175b"
"HA07 011 3531 US","HSA 100","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/bd71a912-a606-4da5-aa1d-fc861070295d.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-100-unit-only-battery-powered-hedge-trimmer-29386095b"
"HA02 011 3501 US","HSA 140 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/107b3678-e69b-42be-a1bf-e3ceff1cf403.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-140-runit-only-battery-powered-hedge-trimmer-29386103b"
"HA02 211 0000 US","HSA 140 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/107b3678-e69b-42be-a1bf-e3ceff1cf403.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-140-runit-only-battery-powered-hedge-trimmer-29386103b"
"HA02 011 3511 US","HSA 140 T","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/27024291-d0bf-4169-a96f-2302dc4f9f7e.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-140-tunit-only-battery-powered-hedge-trimmer-29386099b"
"HA02 011 3521 US","HSA 150 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/e2632c34-1f35-4a93-b4e2-c876e1d3c0f7.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-150-runit-only-battery-powered-hedge-trimmer-29386143b"
"HA02 211 0002 US","HSA 150 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/e2632c34-1f35-4a93-b4e2-c876e1d3c0f7.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-150-runit-only-battery-powered-hedge-trimmer-29386143b"
"HA02 011 3531 US","HSA 150 T","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/49d13862-fdac-4843-8a08-f2eb06142c07.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-150-t-40-unit-only-hedge-trimmer-29386133b"
"HA02 211 0003 US","HSA 150 T","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/49d13862-fdac-4843-8a08-f2eb06142c07.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-150-t-40-unit-only-hedge-trimmer-29386133b"
"HA02 011 3537 US","HSA 150 T","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/49d13862-fdac-4843-8a08-f2eb06142c07.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-150-t-40-unit-only-hedge-trimmer-29386133b"
"HA02 211 0004 US","HSA 150 T","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/49d13862-fdac-4843-8a08-f2eb06142c07.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hsa-150-t-40-unit-only-hedge-trimmer-29386133b"
"LA03 011 6411 US","HTA 66","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/46307b9b-576d-418d-bbc4-bb33eb4dc6ee.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hta-66-battery-powered-pole-pruner-29385047b"
"LA03 011 6431 US","HTA 86","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/dd4c721c-b40f-4b88-a9c3-7563101f6f39.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hta-86-battery-powered-pole-pruner-29385051b"
"LA01 200 0001 US","HTA 135","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/5b987487-2877-4486-89fd-039b4ca55007.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hta-135-battery-powered-pole-pruner-29385026b"
"LA01 200 0024 US","HTA 150","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/c99d2e5a-fe83-4c66-8072-b0353f236f2f.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-hta-150-battery-powered-pole-pruner-29385053b"
"4860 011 4707 US","KGA 770","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/31cbb7c1-2e6e-4259-84ed-b01f3cd7fd89.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-kga-770-unit-only-29387363b"
"FA08 011 6821 US","KMA 120 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/18e6aaba-0155-4d26-99cb-a1ecffadbf20.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-kma-120-r-unit-only-battery-kombisystem-29386338b"
"FA08 011 6833 US","KMA 120 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/18e6aaba-0155-4d26-99cb-a1ecffadbf20.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-kma-120-r-unit-only-battery-kombisystem-29386338b"
"FA02 011 6801 US","KMA 135 R","No catalog page","","","",""
"FA03 011 6801 US","KMA 200 R","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/48f5d963-9907-44aa-8784-e61b61a9deec.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-kma-200-r-unit-only-battery-kombisystem-29386350b"
"MA03 200 0002","MSA 160 C- B","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/5a5b4a97-97d6-4c23-a090-3387ad580ec9.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-msa-160-c-b-12-wo-batt-chrg-29381736b"
"MA03 200 0044","MSA 160 C- B","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/5a5b4a97-97d6-4c23-a090-3387ad580ec9.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-msa-160-c-b-12-wo-batt-chrg-29381736b"
"MA03 200 0008","MSA 200 C-B","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/62a1a56c-c1f4-4e7d-b9b6-02de3c13cf13.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-msa-200-c-b-w12-battery-powered-chainsaw-29381750b"
"MA03 200 0007","MSA 200 C-B","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/62a1a56c-c1f4-4e7d-b9b6-02de3c13cf13.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-msa-200-c-b-w12-battery-powered-chainsaw-29381750b"
"MA03 200 0043","MSA 200 C-B","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/62a1a56c-c1f4-4e7d-b9b6-02de3c13cf13.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-msa-200-c-b-w12-battery-powered-chainsaw-29381750b"
"MA03 200 0015","MSA 220 C-B","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/772a7517-8e47-4574-862d-7cae73031e40.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-msa-220-c-b-14-wo-batt-chrg-29381763b"
"MA03 200 0014","MSA 220 C-B","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/772a7517-8e47-4574-862d-7cae73031e40.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-msa-220-c-b-14-wo-batt-chrg-29381763b"
"MA03 200 0016","MSA 220 C-B","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/772a7517-8e47-4574-862d-7cae73031e40.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-msa-220-c-b-14-wo-batt-chrg-29381763b"
"MA02 200 0058","MSA 300","Matched","","https://cdnmedia.endeavorsuite.com/images/catalogs/25264/products/detail/7858f540-b024-4c05-bc92-a30b65644a7f.jpg","Product JSON-LD","https://www.westendpower.com/new-models/stihl-msa-300-c-o-16-battery-powered-chainsaw-29382291b"
