"SKU","Model","Status","OldProductURL","NewProductURL","CandidateCount"
"BA08 011 5902 US","BGA 30","Unchanged","https://www.westendpower.com/new-models/stihl-bga-30-set-w2x-as-2-batteries-al-1-charger-29386327b","https://www.westendpower.com/new-models/stihl-bga-30-set-w2x-as-2-batteries-al-1-charger-29386327b","2"
"BA08 011 5912 US","BGA 30","Unchanged","https://www.westendpower.com/new-models/stihl-bga-30-set-w2x-as-2-batteries-al-1-charger-29386327b","https://www.westendpower.com/new-models/stihl-bga-30-set-w2x-as-2-batteries-al-1-charger-29386327b","2"
"BA05 011 5901 US","BGA 50","Unchanged","https://www.westendpower.com/new-models/stihl-bga-50-set-wbattery-charger-29386354b","https://www.westendpower.com/new-models/stihl-bga-50-set-wbattery-charger-29386354b","1"
"BA05 011 5919 US","BGA 50","Unchanged","https://www.westendpower.com/new-models/stihl-bga-50-set-wbattery-charger-29386354b","https://www.westendpower.com/new-models/stihl-bga-50-set-wbattery-charger-29386354b","1"
"4523 011 5961 US","BGA 57","Missing","","","0"
"BA04 011 5901 US","BGA 60","Unchanged","https://www.westendpower.com/new-models/stihl-bga-60-set-wbattery-charger-29386228b","https://www.westendpower.com/new-models/stihl-bga-60-set-wbattery-charger-29386228b","2"
"BA04 011 5941 US","BGA 60","Unchanged","https://www.westendpower.com/new-models/stihl-bga-60-set-wbattery-charger-29386228b","https://www.westendpower.com/new-models/stihl-bga-60-set-wbattery-charger-29386228b","2"
"BA02 011 5901 US","BGA 86","New","","https://www.westendpower.com/new-models/stihl-bga-86-set-wbattery-charger-29386233b","2"
"BA02 211 0000 US","BGA 86","New","","https://www.westendpower.com/new-models/stihl-bga-86-set-wbattery-charger-29386233b","2"
"BA02 200 0010","BGA 86","Inactive","","","2"
"4866 011 5901 US","BGA 100","Missing","","","0"
