SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WB01 011 3600 US,WB01 011 3605 US,WB02 011 3610 US,WB03 011 3600 US,WB03 011 3610 US,WB03 011 3611 US,WB04 011 3600 US,WB04 011 3607 US,WB04 011 3605 US,WB04 011 3610 US,WB04 011 3615 US,WB05 011 3600 US,WB05 011 3605 US,WB05 011 3610 US,WB05 011 3616 US,WB05 011 3615 US,WA81 011 8400 US,WA81 011 8410 US,WA81 011 8420 US,WA04 011 8600 US,WA04 011 8610 US,WA04 011 8620 US,RequiredModel1,RequiredSKU1,RequiredQty1,RequiredDescription1,RequiredModel2,RequiredSKU2,RequiredQty2,RequiredDescription2
0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",T,0,T,0,STIHL,Attachments,,T,T,T,,,"KM Carbon Fiber Shaft Extension (37"")",175.99,,, ,0,1,T,,,,,,,,919,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4180 200 0471 US,FS-KM Straight Shaft Trimmer,T,0,T,0,STIHL,Attachments,,T,T,T,,,FS-KM Straight Shaft Trimmer,117.99,,, ,0,1,T,,,,,,,,922,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4180 200 0472 US,FS-KM 4-Tooth Grass Blade,T,0,T,0,STIHL,Attachments,,T,T,T,,,FS-KM 4-Tooth Grass Blade,117.99,,, ,0,1,T,,,,,,,,923,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4180 740 5000 US,FBD-KM Bed Redefiner,T,0,T,0,STIHL,Attachments,,T,T,T,,,FBD-KM Bed Redefiner,289.99,,, ,0,1,T,,,,,,,,924,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4180 740 5003 US,FCB-KM Curved Lawn Edger,T,0,T,0,STIHL,Attachments,,T,T,T,,,FCB-KM Curved Lawn Edger,117.99,,, ,0,0,T,,,,,,,,925,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4180 740 5007 US,RG-KM Reciprocator,T,0,T,0,STIHL,Attachments,,T,T,T,,,RG-KM Reciprocator,459.99,,, ,0,0,T,,,,,,,,926,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4180 740 5009 US,FCS-KM Straight Lawn Edger,T,0,T,0,STIHL,Attachments,,T,T,T,,,FCS-KM Straight Lawn Edger,214.99,,, ,0,1,T,,,,,,,,927,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4182 200 0210 US,"HT-KM Pruner - 12"" Bar",T,0,T,0,STIHL,Attachments,,T,T,T,,,"HT-KM Pruner - 12"" Bar",214.99,,, ,0,1,T,,,,,,,,928,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4182 200 0219 US,"HT-KM Pruner - 10"" Bar",T,0,T,0,STIHL,Attachments,,T,T,T,,,"HT-KM Pruner - 10"" Bar",204.99,,, ,0,0,T,,,,,,,,929,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",T,0,T,0,STIHL,Attachments,,T,T,T,,,"HL-KM Straight Hedge Trimmer - 20"" ",204.99,,, ,0,1,T,,,,,,,,930,,Attachment,KombiSystem,T,,T,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
