SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,ImageURL,Ah,BatteryID,MaxVoltage,RatedCycles,Voltage,WeightLb,WeightKg,Weight,WeightUnit,Wh,ChargerID1,Charger1 80%,Charger1 100%,ChargerID2,Charger2 80%,Charger2 100%,ChargerID3,Charger3 80%,Charger3 100%,ChargerID4,Charger4 80%,Charger4 100%,ChargerID5,Charger5 80%,Charger5 100%,ChargerID6,Charger6 80%,Charger6 100%,ChargerID7,Charger7 80%,Charger7 100%,ChargerID8,Charger8 80%,Charger8 100%,ChargerID9,Charger9 80%,Charger9 100%,ChargerID10,Charger10 80%,Charger10 100%,Notes
EA02 400 6501,AS2 Battery,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AS 2,64.99,Battery,Battery, ,0,1,T,,,,,,,,793,,Battery,Battery,T, ,2.1,AS2,12, ,10.8,,0.2,0.44,lb.,28,AL1,60,80,AL5,30,50,AL5-2,30,50,,,,,,,,,,,,,,,,,,,,,,
4520 400 6531,AK10 Battery ,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AK 10,0,Battery,Battery, ,0,1,T,,,,,,,,795,,Battery,Battery,T, ,2,AK10,40, ,36,,0.8,1.76,lb.,72,,,,,,,,,,AL101,70,95,AL301,25,40,AL501,25,40,,,,,,,,,,,,,
4520 400 6536,AK20 Battery,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AK 20,149.99,Battery,Battery, ,0,1,T,,,,,,,,796,,Battery,Battery,T, ,4,AK20,40, ,36,,1.2,2.65,lb.,144,,,,,,,,,,AL101,135,180,AL301,30,50,AL501,30,35,,,,,,,,,,,,,
4520 400 6546,AK30.0S Battery,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AK 30 S,171.99,Battery,Battery, ,0,1,T,,,,,,,,797,,Battery,Battery,T, ,5,AK30S,40, ,36,,1.3,2.87,lb.,180,,,,,,,,,,AL101,160,205,AL301,35,60,AL501,35,50,,,,,,,,,,,,,
4850 400 6566,AP200S Battery,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AP 200 S,203.99,Battery,Battery, ,0,1,T,,,,,,,,800,,Battery,Battery,T, ,,AP200S,, ,,,,,,,,,,,,,,,,AL101,150,200,AL301,40,55,AL501,25,40,AL301-4,40,55,,,,,,,,,,
4850 400 6586,AP300S Battery,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AP 300 S,320.99,Battery,Battery, ,0,1,T,,,,,,,,801,,Battery,Battery,T, ,7.2,AP300S,40, ,36,,1.8,3.97,lb.,281,,,,,,,,,,AL101,230,300,AL301,55,80,AL501,30,45,AL301-4,55,80,,,,,,,,,,
4850 400 6526,AP20.1 Battery,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AP 20,139.99,Battery,Battery, ,0,0,T,,,,,,,,798,,Battery,Battery,T, ,3.9,AP20.1,40,1200,36,2.9,1.3,2.9,lb.,144,,,,,,,,,,AL101,115,150,AL301,30,45,AL501,25,40,AL301-4,30,45,AL1602,25,40,,,,,,,
4850 400 6591,AP30.1 Battery,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AP 30,219.99,Battery,Battery, ,0,0,T,,,,,,,,799,,Battery,Battery,T, ,7.2,AP30.1,40,1200,36,4,1.8,4,lb.,270,,,,,,,,,,AL101,215,280,AL301,55,75,AL501,30,45,AL301-4,55,75,AL1602,30,45,,,,,,,
EA13 400 6501,AP100.0 P Battery,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AP 100 P,149.99,Battery,Battery, ,0,0,T,,,,,,,,802,,Battery,Battery,T, ,2.9,AP100P,40,3000,36,2,0.9,2,lb.,111,,,,,,,,,,AL101,80,110,AL301,20,30,AL501,10,20,AL301-4,20,30,AL1602,9,20,,,,,,,
EA13 400 6511,AP200.0 P Battery,T,0,T,0,STIHL,Batteries,HANDHELD,T,T,T,Handheld,F,AP 200 P,199.99,Battery,Battery, ,0,0,T,,,,,,,,803,,Battery,Battery,T, ,5.8,AP200P,40,3000,36,3.1,1.4,3.1,lb.,222,,,,,,,,,,AL101,160,215,AL301,40,60,AL501,20,35,AL301-4,40,60,AL1602,9,20,,,,,,,
