Lookup,ZipCode,DeliveryTown,Handheld,Walkbehind,Riding,UTV,CUT,Active,DeliveryNote,PickupLocation
06018,06018,"Canaan, Ct.  ",260.00,260.00,260.00,260.00,260.00,T,,
06030,06030,"Farmington, Ct.  ",245.00,245.00,245.00,245.00,245.00,T,,
06032,06032,"Farmington, Ct.",250.00,250.00,250.00,250.00,250.00,T,,
06034,06034,"Farmington, Ct.",245.00,245.00,245.00,245.00,245.00,T,,
06039,06039,"Lakeville, Ct.",230.00,230.00,230.00,230.00,230.00,T,,
06069,06069,"Sharon, Ct.",195.00,195.00,195.00,195.00,195.00,T,,
06085,06085,"Unionville, Ct",250.00,250.00,250.00,250.00,250.00,T,,
06087,06087,"Unionville, Ct",250.00,250.00,250.00,250.00,250.00,T,,
06401,06401,"Ansonia, Ct.",130.00,130.00,130.00,150.00,150.00,T,,
06403,06403,"Beacon Falls, Ct.",130.00,130.00,130.00,150.00,150.00,T,,
06408,06408,"Cheshire, Ct.",170.00,170.00,170.00,170.00,170.00,T,,
06410,06410,"Cheshire, Ct.",175.00,175.00,175.00,175.00,175.00,T,,
06437,06437,"Guilford, Ct.",270.00,270.00,270.00,270.00,270.00,T,,
06457,06457,"Middletown, Ct.",250.00,250.00,250.00,250.00,250.00,T,,
06459,06459,"Middletown, Ct.",245.00,245.00,245.00,245.00,245.00,T,,
06460,06460,"Milford, Ct.",145.00,145.00,145.00,150.00,150.00,T,,
06461,06461,"Milford, Ct.",140.00,140.00,140.00,150.00,150.00,T,,
06468,06468,"Monroe, Ct.",85.00,100.00,100.00,$0.00,$0.00,T,,
06470,06470,"Newtown, Ct.",80.00,$0.00,$0.00,$0.00,$0.00,T,,
06478,06478,"Oxford, Ct.",105.00,105.00,105.00,150.00,150.00,T,,
06482,06482,"Sandy Hook, Ct.",80.00,$0.00,$0.00,$0.00,$0.00,T,,
06483,06483,"Seymour, Ct.",115.00,115.00,115.00,150.00,150.00,T,,
06484,06484,"Shelton, Ct.",110.00,110.00,110.00,150.00,150.00,T,,
06488,06488,"Southbury, Ct.",90.00,100.00,100.00,$0.00,$0.00,T,,
06514,06514,"Hamden, Ct.",180.00,180.00,180.00,180.00,180.00,T,,
06517,06517,"Hamden, Ct.",185.00,185.00,185.00,185.00,185.00,T,,
06518,06518,"Hamden, Ct.",205.00,205.00,205.00,205.00,205.00,T,,
06524,06524,"Bethany, Ct.",145.00,145.00,145.00,150.00,150.00,T,,
06611,06611,"Trumbull, Ct.",95.00,100.00,100.00,$0.00,$0.00,T,,
06612,06612,"Easton, Ct.",80.00,$0.00,$0.00,$0.00,$0.00,T,,
06614,06614,Stratford,135.00,135.00,135.00,150.00,150.00,T,,
06615,06615,Stratford,145.00,145.00,145.00,150.00,150.00,T,,
06701,06701,"Waterbury, Ct.",130.00,130.00,130.00,150.00,150.00,T,,
06702,06702,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06703,06703,"Waterbury, Ct.",155.00,155.00,155.00,155.00,155.00,T,,
06704,06704,"Waterbury, Ct.",150.00,150.00,150.00,150.00,150.00,T,,
06705,06705,"Waterbury, Ct.",145.00,145.00,145.00,150.00,150.00,T,,
06706,06706,"Waterbury, Ct.",145.00,145.00,145.00,150.00,150.00,T,,
06708,06708,"Waterbury, Ct.",130.00,130.00,130.00,150.00,150.00,T,,
06710,06710,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06712,06712,"Prospect, Ct.",155.00,155.00,155.00,155.00,155.00,T,,
06716,06716,"Wolcott, Ct.",170.00,170.00,170.00,170.00,170.00,T,,
06720,06720,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06721,06721,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06722,06722,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06723,06723,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06724,06724,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06725,06725,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06726,06726,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06749,06749,"Waterbury, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06750,06750,"Bantam, Ct.",140.00,140.00,140.00,150.00,150.00,T,,
06751,06751,"Bethlehem, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06752,06752,Bridgewater. Ct.,80.00,$0.00,$0.00,$0.00,$0.00,T,,
06753,06753,"Cornwall, Ct.",180.00,180.00,180.00,180.00,180.00,T,,
06754,06754,"Cornwall Bridge, Ct.",145.00,145.00,145.00,150.00,150.00,T,,
06755,06755,"Gaylordsville, Ct.",105.00,105.00,105.00,150.00,150.00,T,,
06756,06756,"Goshen, Ct.",195.00,195.00,195.00,195.00,195.00,T,,
06757,06757,"Kent, Ct.",145.00,145.00,145.00,150.00,150.00,T,,
06758,06758,"Lakeside, Ct.",135.00,135.00,135.00,150.00,150.00,T,,
06759,06759,"Litchfield, Ct.",165.00,165.00,165.00,165.00,165.00,T,,
06762,06762,"Middlebury, Ct.",110.00,110.00,110.00,150.00,150.00,T,,
06763,06763,"Morris, Ct.",145.00,145.00,145.00,150.00,150.00,T,,
