SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,Package,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,SaleEndDate,RebateToCustomer,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredSKU1,RequiredQty1,RequiredDescription1,RequiredSKU2,RequiredQty2,RequiredDescription2,Active2,WB01 011 3600 US
0000 792 9164,Bar Scabbard,T,0,T,0,STIHL,,,T,T,T,,,,7.99,,,, ,0,0,T,,,,,,,,969,,,,T,,T,,,,,,,,,,,,,,,,,,,
0000 670 6000,Portable Pressurized Tank,T,0,T,0,STIHL,,,T,T,T,,,,119.99,,,, ,0,0,T,,,,,,,,964,,,,T,,T,,,,,,,,,,,,,,,,,,,
0000 700 6310,Adjustable Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,32.99,,,, ,0,0,T,,,,,,,,965,,,,T,,T,,,,,,,,,,,,,,,,,,,
0000 708 4200,Reducing Ring,T,0,T,0,STIHL,,,T,T,T,,,,10.99,,,, ,0,0,T,,,,,,,,966,,,,T,,T,,,,,,,,,,,,,,,,,,,
0000 790 4400,Carrier System,T,0,T,0,STIHL,,,T,T,T,,,,128.99,,,, ,0,0,T,,,,,,,,967,,,,T,,T,,,,,,,,,,,,,,,,,,,
0000 790 7700,Chest Strap,T,0,T,0,STIHL,,,T,T,T,,,,12.99,,,, ,0,0,T,,,,,,,,968,,,,T,,T,,,,,,,,,,,,,,,,,,,
0000 900 4300,Chainsaw Bag TIMBERSPORTS Edition,T,0,T,0,STIHL,,,T,T,T,,,,106.99,,,, ,0,0,T,,,2026-12-31,,74.89,2026-08-01,,977,,,,T,,T,,,,,,,,,,,,,,,,,,,
0781 120 1109,Gearbox Grease,T,0,T,0,STIHL,,,T,T,T,,,,6.99,,,, ,0,0,T,,,,,,,,978,,,,T,,T,,,,,,,,,,,,,,,,,,,
0782 516 8501,Lubricating Oil,T,0,T,0,STIHL,,,T,T,T,,,,7.99,,,, ,0,0,T,,,,,,,,979,,,,T,,T,,,,,,,,,,,,,,,,,,,
3007 003 0101,Guide Bar,T,0,T,0,STIHL,,,T,T,T,,,,21.99,,,, ,0,0,T,,,,,,,,980,,,,T,,T,,,,,,,,,,,,,,,,,,,
3008 000 0202,Guide Bar,T,0,T,0,STIHL,,,T,T,T,,,,26.99,,,, ,0,0,T,,,,,,,,981,,,,T,,T,,,,,,,,,,,,,,,,,,,
3008 000 0203,Guide Bar,T,0,T,0,STIHL,,,T,T,T,,,,32.99,,,, ,0,0,T,,,,,,,,982,,,,T,,T,,,,,,,,,,,,,,,,,,,
3670 005 0028,Saw Chain,T,0,T,0,STIHL,,,T,T,T,,,,17.99,,,, ,0,0,T,,,,,,,,983,,,,T,,T,,,,,,,,,,,,,,,,,,,
3670 005 0038,Saw Chain,T,0,T,0,STIHL,,,T,T,T,,,,18.99,,,, ,0,0,T,,,,,,,,984,,,,T,,T,,,,,,,,,,,,,,,,,,,
4001 710 2105,FixCut 31-2,T,0,T,0,STIHL,,,T,T,T,,,,33.99,,,, ,0,0,T,,,,,,,,985,,,,T,,T,,,,,,,,,,,,,,,,,,,
4001 713 3801,Grass-4 Blade,T,0,T,0,STIHL,,,T,T,T,,,,16.99,,,, ,0,0,T,,,,,,,,986,,,,T,,T,,,,,,,,,,,,,,,,,,,
4001 713 3803,Grass-8 Blade,T,0,T,0,STIHL,,,T,T,T,,,,22.99,,,, ,0,0,T,,,,,,,,987,,,,T,,T,,,,,,,,,,,,,,,,,,,
4002 710 2162,SuperCut 20-2,T,0,T,0,STIHL,,,T,T,T,,,,39.99,,,, ,0,0,T,,,,,,,,988,,,,T,,T,,,,,,,,,,,,,,,,,,,
4002 710 2169,AutoCut C 26-2,T,0,T,0,STIHL,,,T,T,T,,,,39.99,,,, ,0,0,T,,,,,,,,989,,,,T,,T,,,,,,,,,,,,,,,,,,,
4002 710 2182,DuroCut 20-2,T,0,T,0,STIHL,,,T,T,T,,,,39.99,,,, ,0,0,T,,,,,,,,990,,,,T,,T,,,,,,,,,,,,,,,,,,,
4002 710 2198,TrimCut C 32-2,T,0,T,0,STIHL,,,T,T,T,,,,26.99,,,, ,0,0,T,,,,,,,,991,,,,T,,T,,,,,,,,,,,,,,,,,,,
4002 820 2300,PolyCut 28-2,T,0,T,0,STIHL,,,T,T,T,,,,39.99,,,, ,0,0,T,,,,,,,,992,,,,T,,T,,,,,,,,,,,,,,,,,,,
4002 820 2302,AutoCut 27-2,T,0,T,0,STIHL,,,T,T,T,,,,33.99,,,, ,0,0,T,,,,,,,,993,,,,T,,T,,,,,,,,,,,,,,,,,,,
4002 820 2304,AutoCut 27-2 Long Life,T,0,T,0,STIHL,,,T,T,T,,,,38.99,,,, ,0,0,T,,,,,,,,994,,,,T,,T,,,,,,,,,,,,,,,,,,,
4112 713 4100,Brush Knife,T,0,T,0,STIHL,,,T,T,T,,,,39.99,,,, ,0,0,T,,,,,,,,995,,,,T,,T,,,,,,,,,,,,,,,,,,,
4144 007 1016,Blade Installation Kit,T,0,T,0,STIHL,,,T,T,T,,,,33.99,,,, ,0,0,T,,,,,,,,996,,,,T,,T,,,,,,,,,,,,,,,,,,,
4180 007 1032,Blade Installation Kit,T,0,T,0,STIHL,,,T,T,T,,,,33.99,,,, ,0,0,T,,,,,,,,997,,,,T,,T,,,,,,,,,,,,,,,,,,,
4182 640 0200,30 Degree Gearbox,T,0,T,0,STIHL,,,T,T,T,,,,129.99,,,, ,0,0,T,,,,,,,,998,,,,T,,T,,,,,,,,,,,,,,,,,,,
4203 710 9102,Hip / Lap Belt,T,0,T,0,STIHL,,,T,T,T,,,,71.49,,,, ,0,0,T,,,,,,,,999,,,,T,,T,,,,,,,,,,,,,,,,,,,
4205 007 1009,Cutting Guide Arm,T,0,T,0,STIHL,,,T,T,T,,,,57.99,,,, ,0,0,T,,,,,,,,1000,,,,T,,T,,,,,,,,,,,,,,,,,,,
4224 007 1009,Water Tank w/Mounting Kit,T,0,T,0,STIHL,,,T,T,T,,,,184.99,,,, ,0,0,T,,,,,,,,1001,,,,T,,T,,,,,,,,,,,,,,,,,,,
4224 007 1014,Roller Wheel Kit,T,0,T,0,STIHL,,,T,T,T,,,,44.99,,,, ,0,0,T,,,,,,,,1002,,,,T,,T,,,,,,,,,,,,,,,,,,,
4224 007 1013,Air Filter Kit,T,0,T,0,STIHL,,,T,T,T,,,,27.99,,,, ,0,0,T,,,,,,,,1003,,,,T,,T,,,,,,,,,,,,,,,,,,,
4224 710 1403,CutQuik Cart (Cart Only),T,0,T,0,STIHL,,,T,T,T,,,,435.99,,,, ,0,0,T,,,,,,,,1004,,,,T,,T,,,,,,,,,,,,,,,,,,,
4224 790 0705,Mounting Kit,T,0,T,0,STIHL,,,T,T,T,,,,176.99,,,, ,0,0,T,,,,,,,,1005,,,,T,,T,,,,,,,,,,,,,,,,,,,
4229 708 9701,Fine Mest Bag,T,0,T,0,STIHL,,,T,T,T,,,,117.99,,,, ,0,0,T,,,,,,,,1006,,,,T,,T,,,,,,,,,,,,,,,,,,,
4229 708 9702,Coarse Mesh Bag,T,0,T,0,STIHL,,,T,T,T,,,,45.49,,,, ,0,0,T,,,,,,,,1007,,,,T,,T,,,,,,,,,,,,,,,,,,,
4238 140 4404,Air Filter Kit,T,0,T,0,STIHL,,,T,T,T,,,,33.99,,,, ,0,0,T,,,,,,,,1008,,,,T,,T,,,,,,,,,,,,,,,,,,,
4238 670 3603,Tool Holder,T,0,T,0,STIHL,,,T,T,T,,,,38.99,,,, ,0,0,T,,,,,,,,1009,,,,T,,T,,,,,,,,,,,,,,,,,,,
4241 007 1003,Gutter Kit,T,0,T,0,STIHL,,,T,T,T,,,,50.99,,,, ,0,0,T,,,,,,,,1010,,,,T,,T,,,,,,,,,,,,,,,,,,,
4241 007 1006,Pressure Pump Kit,T,0,T,0,STIHL,,,T,T,T,,,,145.99,,,, ,0,0,T,,,,,,,,1011,,,,T,,T,,,,,,,,,,,,,,,,,,,
4241 007 1009,Set of ULV Nozzles,T,0,T,0,STIHL,,,T,T,T,,,,17.99,,,, ,0,0,T,,,,,,,,1012,,,,T,,T,,,,,,,,,,,,,,,,,,,
4241 700 2200,Vacuum Kit,T,0,T,0,STIHL,,,T,T,T,,,,63.99,,,, ,0,0,T,,,,,,,,1013,,,,T,,T,,,,,,,,,,,,,,,,,,,
4241 708 3402,Tube,T,0,T,0,STIHL,,,T,T,T,,,,12.99,,,, ,0,0,T,,,,,,,,1014,,,,T,,T,,,,,,,,,,,,,,,,,,,
4241 708 6302,Flat Curved Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,14.99,,,, ,0,0,T,,,,,,,,1015,,,,T,,T,,,,,,,,,,,,,,,,,,,
4241 708 6340,Round Curved Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,11.49,,,, ,0,0,T,,,,,,,,1016,,,,T,,T,,,,,,,,,,,,,,,,,,,
4244 007 1004,Pressure Pump Kit,T,0,T,0,STIHL,,,T,T,T,,,,145.99,,,, ,0,0,T,,,,,,,,1017,,,,T,,T,,,,,,,,,,,,,,,,,,,
4244 007 1022,Set of ULV Nozzles,T,0,T,0,STIHL,,,T,T,T,,,,8.99,,,, ,0,0,T,,,,,,,,1018,,,,T,,T,,,,,,,,,,,,,,,,,,,
4244 770 0300,Tube Extension Kit,T,0,T,0,STIHL,,,T,T,T,,,,12.99,,,, ,0,0,T,,,,,,,,1019,,,,T,,T,,,,,,,,,,,,,,,,,,,
4247 500 2100,Telescopic Lance,T,0,T,0,STIHL,,,T,T,T,,,,76.49,,,, ,0,0,T,,,,,,,,1020,,,,T,,T,,,,,,,,,,,,,,,,,,,
4247 500 7400,Valve (Yellow - 15 psi),T,0,T,0,STIHL,,,T,T,T,,,,78.99,,,, ,0,0,T,,,,,,,,1021,,,,T,,T,,,,,,,,,,,,,,,,,,,
4247 500 7401,Valve (Red - 21 psi),T,0,T,0,STIHL,,,T,T,T,,,,78.99,,,, ,0,0,T,,,,,,,,1022,,,,T,,T,,,,,,,,,,,,,,,,,,,
4247 500 7402,Valve (Blue - 29 psi),T,0,T,0,STIHL,,,T,T,T,,,,78.99,,,, ,0,0,T,,,,,,,,1023,,,,T,,T,,,,,,,,,,,,,,,,,,,
4250 790 0702,Mounting Kit,T,0,T,0,STIHL,,,T,T,T,,,,164.99,,,, ,0,0,T,,,,,,,,1024,,,,T,,T,,,,,,,,,,,,,,,,,,,
4255 007 1000,Sprayer Nozzle Set,T,0,T,0,STIHL,,,T,T,T,,,,22.99,,,, ,0,0,T,,,,,,,,1025,,,,T,,T,,,,,,,,,,,,,,,,,,,
4282 700 1802,Blower Tube,T,0,T,0,STIHL,,,T,T,T,,,,20.49,,,, ,0,0,T,,,,,,,,1026,,,,T,,T,,,,,,,,,,,,,,,,,,,
4282 701 5408,Blower Tube,T,0,T,0,STIHL,,,T,T,T,,,,16.49,,,, ,0,0,T,,,,,,,,1027,,,,T,,T,,,,,,,,,,,,,,,,,,,
4282 708 3101,Union Nut,T,0,T,0,STIHL,,,T,T,T,,,,9.99,,,, ,0,0,T,,,,,,,,1028,,,,T,,T,,,,,,,,,,,,,,,,,,,
4282 708 6303,Curved Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,15.99,,,, ,0,0,T,,,,,,,,1029,,,,T,,T,,,,,,,,,,,,,,,,,,,
4282 708 6304,Flat Curved Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,32.99,,,, ,0,0,T,,,,,,,,1030,,,,T,,T,,,,,,,,,,,,,,,,,,,
4282 708 6340,Flat Curved Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,12.49,,,, ,0,0,T,,,,,,,,1031,,,,T,,T,,,,,,,,,,,,,,,,,,,
4282 708 6355,Round Curved Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,15.99,,,, ,0,0,T,,,,,,,,1032,,,,T,,T,,,,,,,,,,,,,,,,,,,
4282 708 6365,Round Curved Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,15.49,,,, ,0,0,T,,,,,,,,1033,,,,T,,T,,,,,,,,,,,,,,,,,,,
4282 710 9101,Hip Belt,T,0,T,0,STIHL,,,T,T,T,,,,38.99,,,, ,0,0,T,,,,,,,,1034,,,,T,,T,,,,,,,,,,,,,,,,,,,
4283 710 9100,Hip Belt,T,0,T,0,STIHL,,,T,T,T,,,,56.49,,,, ,0,0,T,,,,,,,,1035,,,,T,,T,,,,,,,,,,,,,,,,,,,
4601 007 1009,Large Deflector w/Ext.,T,0,T,0,STIHL,,,T,T,T,,,,75.99,,,, ,0,0,T,,,,,,,,1040,,,,T,,T,,,,,,,,,,,,,,,,,,,
4601 730 4500,Extra Weight Kit,T,0,T,0,STIHL,,,T,T,T,,,,74.99,,,, ,0,0,T,,,,,,,,1041,,,,T,,T,,,,,,,,,,,,,,,,,,,
4601 740 4800,Depth Gauge,T,0,T,0,STIHL,,,T,T,T,,,,20.99,,,, ,0,0,T,,,,,,,,1042,,,,T,,T,,,,,,,,,,,,,,,,,,,
4866 701 8301,Flat Straight Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,12.99,,,, ,0,0,T,,,,,,,,1043,,,,T,,T,,,,,,,,,,,,,,,,,,,
4850 440 0505,AP Adapter,T,0,T,0,STIHL,,,T,T,T,,,,58.99,,,, ,0,0,T,,,,,,,,1044,,,,T,,T,,,,,,,,,,,,,,,,,,,
4871 440 2000,AR Cable,T,0,T,0,STIHL,,,T,T,T,,,,80.99,,,, ,0,0,T,,,,,,,,1045,,,,T,,T,,,,,,,,,,,,,,,,,,,
4871 490 0401,AR Carry System,T,0,T,0,STIHL,,,T,T,T,,,,149.99,,,, ,0,0,T,,,,,,,,1046,,,,T,,T,,,,,,,,,,,,,,,,,,,
4910 500 0801,23' Extension Hose,T,0,T,0,STIHL,,,T,T,T,,,,38.99,,,, ,0,0,T,,,,,,,,1047,,,,T,,T,,,,,,,,,,,,,,,,,,,
4910 500 0901,Spray Lance Extension,T,0,T,0,STIHL,,,T,T,T,,,,25.99,,,, ,0,0,T,,,,,,,,1048,,,,T,,T,,,,,,,,,,,,,,,,,,,
4910 500 1910,Curved Spray Lance,T,0,T,0,STIHL,,,T,T,T,,,,58.99,,,, ,0,0,T,,,,,,,,1049,,,,T,,T,,,,,,,,,,,,,,,,,,,
4910 500 3911,Surface Cleaner,T,0,T,0,STIHL,,,T,T,T,,,,59.99,,,, ,0,0,T,,,,,,,,1050,,,,T,,T,,,,,,,,,,,,,,,,,,,
4910 500 5910,Rotary Washing Brush,T,0,T,0,STIHL,,,T,T,T,,,,35.99,,,, ,0,0,T,,,,,,,,1051,,,,T,,T,,,,,,,,,,,,,,,,,,,
