SortOrder,Brand,PaymentOptionID,Label,Type,AllowDiscount,Display,Creditor,ProgramStartDate,ProgramEndDate,APR,TermMonths,ApplicationFee,MinAmount,DealerFeePercent,MaxAmount,PersonalUse,CommercialUse,SubPrime,RebateEligible,MaxDisplayedDealerCostPercent,Display,Active,Type,DiscountType,DiscountValue,TotalCharges,MinPayment,MinDownPayment,CreditApplicationURL,Disclaimer,AllProducts,Pushmowers,RZ142,RZ152,RZ261,RZ552,RZ552K,RZ560,RZ560K,RZ752i,RZ752K,RZ752iK,RZ760i,RZ760K,RZ760iK,RZ960i,RZ960K,RZ960iK,RZ972i,RZ972K,RZ972iK,AZA748,AZA752,AZA760,RZA748,RZA752,RZA760,,,,,,
1,STIHL,,Cash or Bank Check,Cash,T,T,Cash / Check,,,,,,,0.00,,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,STIHL,,Amex / Discover / MasterCard / Visa,Credit Card,T,T,Credit Card,,,,,,,3.00,,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Credit Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,STIHL, ,0% for 12 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",0.00,12,50.00,5000,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,STIHL, ,0% for 24 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",0.00,24,150.00,5000,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,STIHL, ,0% for 12 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",0.00,12,50.00,400,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,STIHL, ,0% for 24 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",0.00,24,150.00,3000,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,STIHL, ,0% for 48 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",0.00,48,150.00,3000,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,STIHL, ,0% for 60 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",0.00,60,150.00,3000,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,,,,,, , , , , , , ,, , , , , , , , ,,,,, , ,,,,,,
9,STIHL, ,2.99% for 24 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",2.99,24,150.00,1500,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,STIHL, ,3.99% for 36 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",3.99,36,150.00,3000,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,STIHL, ,4.99% for 48 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",4.99,48,150.00,4500,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,STIHL, ,5.99% for 60 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",5.99,60,150.00,6000,0.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,STIHL, ,5.99% for 12 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",5.99,12,50.00,500,3.00,75000.00,TRUE,TRUE,FASLE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,STIHL, ,7.99% for 24 Months,Finance,T,T,Sheffield Financial,"May 1, 2026","July 31, 2026",7.99,24,150.00,1500,3.00,75000.00,TRUE,TRUE,FALSE,YES,3.00,TRUE,TRUE,Finance, , ,,,,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
