SKU,StihlID,Model,DefaultPackage,Name,BladeSize,MSRP,SalePrice,ToolOnlyPriceMSRP,ToolOnlySalePrice,SpecialText,SaleEndDate,Category,SubCategory,Tags,Series,System,RecommendedBatteryCount,Type,Builder,ComponentType,KitBattery,KitBatteryQty,KitCharger,KitChargerQty,RecommendedBattery,StandardCharger,RapidCharger,HighSpeedCharger,MultiCharger,Active,Featured,SortOrder,ToolWeight,Spec3Label,Spec3Value,Spec2Label,Spec2Value,Spec1Label,Spec1Value,AS2,AS2RunTimeLow,AS2RunTimeHigh,AS2CutsPerCharge,AS2CutMaterial,AK10,AK10RunTimeLow,AK10RunTimeHigh,AK10CutsPerCharge,AK10CutMaterial,AK20,AK20RunTimeLow,AK20RunTimeHigh,AK20CutsPerCharge,AK20CutMaterial,AK30,AK30RunTimeLow,AK30RunTimeHigh,AK30CutsPerCharge,AK30CutMaterial,AK30S,AK30SRunTimeLow,AK30SRunTimeHigh,AK30SCutsPerCharge,AK30SCutMaterial,AP200S,AP200SRunTimeLow,AP200SRunTimeHigh,AP200SCutsPerCharge,AP200SCutMaterial,AP300S,AP300SRunTimeLow,AP300SRunTimeHigh,AP300SCutsPerCharge,AP300SCutMaterial,AP500S,AP500SRunTimeLow,AP500SRunTimeHigh,AP500SCutsPerCharge,AP500SCutMaterial,AR2000L,AR2000LRunTimeLow,AR2000LRunTimeHigh,AR2000LCutsPerCharge,AR2000LCutMaterial,AR3000L,AR3000LRunTimeLow,AR3000LRunTimeHigh,AR3000LCutsPerCharge,AR3000LCutMaterial,Spec4Label,Spec4Value,AL1,AL5,AL5-2,AL101,AL301,AL501,AL301-4,WeightAS2,WeightAK10,WeightAK20,WeightAK30,WeightAK30S,WeightAP200S,WeightAP300S,WeightAP500S,WeightAR2000L,WeightAR3000L,PDF,Video,Badge,WarrantyConsumer,WarrantyProfessional,PromoTitle,PromoDescription,PromoItem,PromoItemQty,PromoEndDate,PromoAppliesTo,PromoValue,ImageURL,ProductURL,InventoryURL
BGA30_TOOL,BA08 011 5902 US,BGA30,Tool Only,STIHL BGA30 Hand-Held Blower,,119.99,,119.99,119.99,,,Blowers,Handheld,,AS Series,AS,2,Blower,Battery,Tool Only,,,,,AS2,AL1,AL5, ,AL5-2,T,F,210,3.4,Blowing Force,5 N,Air Speed,96 MPH,Air Volume,250 CFM,T,8,25,,,F, , ,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,Sound Level,50 dBA,T,T,T,F,F,F,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AS Series,5 Years,3 Years,,,,,,,,,,
BGA30_AS2_AL1_KIT,BA08 011 5912 US,BGA30 Set,AS2_AL1,STIHL BGA30 w/2 - AS2 Batteries & AL1 Charger,,189.99,,119.99,119.99,,,Blowers,Handheld,,AS Series,AS,2,Blower,Battery,Kit,AS2,2,AL1,1,AS2,AL1,AL5, ,AL5-2,T,F,211,3.4,Blowing Force,5 N,Air Speed,96 MPH,Air Volume,250 CFM,T,8,25,,,F, , ,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,Sound Level,50 dBA,T,T,T,F,F,F,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AS Series,5 Years,3 Years,,,,,,,,,,
BGA50_TOOL,BA05 011 5901 US,BGA50,Tool Only,STIHL BGA50.0 Hand-Held Blower,,179.99,,179.99,179.99,,,Blowers,Handheld,,AK Series,AK,1,Blower,Battery,Tool Only,,,,,AK20,AL101,AL301,AL501,,T,F,215,4.9,Blowing Force,11 N,Air Speed,123 MPH,Air Volume,455 CFM,F,,,,,T,10,55,,,T,20,115,,,T,25,140,,,T,25,140,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,Sound Level,55 dBA,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
BGA50_AK20_AL101_KIT,BA05 011 5919 US,BGA50 Set,AK20_AL101,STIHL BGA50.0 w/AK20 Battery & AL101 Charger,,249.99,199.99,179.99,179.99,,"June 30, 2026",Blowers,Handheld,,AK Series,AK,1,Blower,Battery,Kit,AK20,1,AL101,1,AK20,AL101,AL301,AL501,,T,T,216,4.9,Blowing Force,11 N,Air Speed,123 MPH,Air Volume,455 CFM,F,,,,,T,10,55,,,T,20,115,,,T,25,140,,,T,25,140,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,Sound Level,55 dBA,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
BGA60_TOOL,BA04 011 5901 US,BGA60,Tool Only,STIHL BGA60 Hand-Held Blower,,219.99,,219.99,219.99,,,Blowers,Handheld,,AK Series,AK,1,Blower,Battery,Tool Only,,,,,AK30S,AL101,AL301,AL501,,T,F,220,5.1,Blowing Force,15 N,Air Speed,154 MPH,Air Volume,459 CFM,F,,,,,T,9,50,,,T,13,105,,,T,16,130,,,T,16,130,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,Sound Level,56 dBA,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
BGA60_AK30_AL101_KIT,BA04 011 5941 US,BGA60 Set,AK30_AL101,STIHL BGA60 w/AK30 Battery & AL101 Charger,,299.99,,219.99,219.99,,,Blowers,Handheld,,AK Series,AK,1,Blower,Battery,Tool Only,AK30,1,AL101,1,AK30S,AL101,AL301,AL501,,T,F,221,5.1,Blowing Force,15 N,Air Speed,154 MPH,Air Volume,459 CFM,F,,,,,T,9,50,,,T,13,105,,,T,16,130,,,T,16,130,,,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,Sound Level,56 dBA,F,F,F,T,T,T,F,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AK Series,5 Years,3 Years,,,,,,,,,,
BGA86_TOOL,BA02 011 5901 US,BGA86,Tool Only,STIHL BGA86 Hand-Held Blower, ,249.99,,249.99,249.99, ,,Blowers,Handheld, ,AP Series,AP,1,Blower,Battery,Tool Only, ,,,,AP300S,AL101,AL301,AL501,AL301-4,T,F,250,6.2,Blowing Force,15 N,Air Speed,154 MPH,Air Volume,458 CFM,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,18,105,,,T,26,150,,,T,31,175,,,T,90,588,,,T,135,877,,,Sound Level,58 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99, , ,  
BGA86_AP300S_AL301_KIT,BA02 211 0000 US,BGA86 Set,AP300S_AL301,STIHL BGA86 w/AP300S Battery & AL301, ,609.99,,249.99,249.99, ,,Blowers,Handheld, ,AP Series,AP,1,Blower,Battery,Kit,AP300S,1,AL301,1,AP300S,AL101,AL301,AL501,AL301-4,T,T,251,6.2,Blowing Force,15 N,Air Speed,154 MPH,Air Volume,458 CFM,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,18,105,,,T,26,150,,,T,31,175,,,T,90,588,,,T,135,877,,,Sound Level,58 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99,, ,  
BGA160_TOOL,BA09 011 5901 US,BGA160,Tool Only,STIHL BGA160 Hand-Held Blower, ,269.99,,269.99,269.99, ,,Blowers,Handheld, ,AP Series,AP,1,Blower,Battery,Tool Only, ,,,,AP300S,AL101,AL301,AL501,AL301-4,T,F,260,5.8,Blowing Force,21 N,Air Speed,174 MPH,Air Volume,570 CFM,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,10,75,,,T,15,110,,,T,17,130,,,T,56,440,,,T,85,658,,,Sound Level,57 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99, , ,  
BGA160_AP300S_AL301_KIT,BA09 011 5910 US,BGA160 Set,AP300S_AL301,STIHL BGA160 w/AP300S Battery & AL301, ,649.99,,269.99,269.99, ,,Blowers,Handheld, ,AP Series,AP,1,Blower,Battery,Tool Only,AP300S,1,AL301,1,AP300S,AL101,AL301,AL501,AL301-4,T,F,261,5.8,Blowing Force,21 N,Air Speed,174 MPH,Air Volume,570 CFM,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,10,75,,,T,15,110,,,T,17,130,,,T,56,440,,,T,85,658,,,Sound Level,57 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99, , ,  
BGA200_TOOL,BA01 011 5901 US,BGA160,Tool Only,STIHL BGA200 Hand-Held Blower, ,559.99,,559.99,559.99, ,,Blowers,Handheld, ,AP Series,AP,1,Blower,Battery,Tool Only, ,,,,AR3000L,AL101,AL301,AL501,AL301-4,T,F,270,7.1,Blowing Force,21 N,Air Speed,188 MPH,Air Volume,553 CFM,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,7,49,,,T,14,95,,,T,17,114,,,T,54,352,,,T,82,526,,,Sound Level,59 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99, , ,  
BGA250_TOOL,BA06 011 5901 US,BGA250,Tool Only,STIHL BGA250 Hand-Held Blower, ,329.99,,329.99,329.99, ,,Blowers,Handheld, ,AP Series,AP,1,Blower,Battery,Tool Only, ,,,,AP300S,AL101,AL301,AL501,AL301-4,T,F,275,5.9,Blowing Force,26 N,Air Speed,190 MPH,Air Volume,612 MPH,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,13,27,,,T,12,40,,,T,14,48,,,T,45,166,,,T,70,249,,,Sound Level,62 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99, , ,  
BGA300,BA03 011 5911 US,BGA300,Tool Only,STIHL BGA300.1 Back-Pack Blower, ,749.99,,749.99,749.99, ,,Blowers,Backpack, ,AP Series,AP,1,Blower,Battery,Tool Only, ,,,,AR3000L,AL101,AL301,AL501,AL301-4,T,F,276,15.4,Blowing Force,26 N,Air Speed,192 MPH,Air Volume,571 CFM,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,13,16,,,T,10,25,,,T,12,30,,,T,37,92,,,T,60,137,,,Sound Level,62 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99, , ,  
BRA200_TOOL,BA11 011 5901 US,BRA200,Tool Only,STIHL BRA200.0 Back-Pack Blower, ,479.99,,479.99,479.99, ,,Blowers,Backpack, ,AP Series,AP,1,Blower,Battery,Tool Only, ,,,,AP300S,AL101,AL301,AL501,AL301-4,T,F,278,15.2,Blowing Force,21 N,Air Speed,177 MPH,Air Volume,527 CFM,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,10,67,,,T,14,97,,,T,16,115,,,F,,,,,F,,,,,Sound Level,64 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99, , ,  
BRA200_AP300S_AL301_TOOL,BA11 011 5931 US,BRA200,AP300S_AL301,STIHL BRA200.0 w/AP300S Battery & AL301, ,729.99,,479.99,479.99, ,,Blowers,Backpack, ,AP Series,AP,1,Blower,Battery,Kit,AP300S,1,AL301,1,AP300S,AL101,AL301,AL501,AL301-4,T,F,279,15.2,Blowing Force,21 N,Air Speed,177 MPH,Air Volume,527 CFM,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,10,67,,,T,14,97,,,T,16,115,,,F,,,,,F,,,,,Sound Level,64 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99, , ,  
BRA280_TOOL,BA11 011 5921 US,BRA280,Tool Only,STIHL BRA280.0-B Back-Pack Blower, ,649.99,,649.99,649.99, ,,Blowers,Backpack, ,AP Series,AP,1,Blower,Battery,Tool Only, ,,,,AP500S,AL101,AL301,AL501,AL301-4,T,F,280,15.7,Blowing Force,26 N,Air Speed,192 MPH,Air Volume,571 CFM,F,,,,,F,,,,,F,,,,,F,,,,,F,,,,,T,13,19,,,T,10,25,,,T,12,30,,,F,,,,,F,,,,,Sound Level,65 dBA,F,F,F,T,T,T,T,0.44,1.80,2.70,2.90,2.90,2.90,3.97,4.20,21.90,26.50,,,AP Series,5 Years,3 Years,Free AP300S Battery,Purchase a qualifying AP Series tool or set and receive a free AP 300 S battery after registration.,AP300S,1,"June 30, 2026",AP Series,320.99, , ,  
