Lookup,ZipCode,DeliveryTown,Handheld,Walkbehind,Riding,UTV,CUT,Active,PickupLocation
06018,06018,"Canaan, Ct.  ",260.00,260.00,260.00,260.00,260.00,TRUE,
06030,06030,"Farmington, Ct.  ",245.00,245.00,245.00,245.00,245.00,TRUE,
06032,06032,"Farmington, Ct.",250.00,250.00,250.00,250.00,250.00,TRUE,
06034,06034,"Farmington, Ct.",245.00,245.00,245.00,245.00,245.00,TRUE,
06039,06039,"Lakeville, Ct.",230.00,230.00,230.00,230.00,230.00,TRUE,
06069,06069,"Sharon, Ct.",195.00,195.00,195.00,195.00,195.00,TRUE,
06085,06085,"Unionville, Ct",250.00,250.00,250.00,250.00,250.00,TRUE,
06087,06087,"Unionville, Ct",250.00,250.00,250.00,250.00,250.00,TRUE,
06401,06401,"Ansonia, Ct.",130.00,130.00,130.00,150.00,150.00,TRUE,
06403,06403,"Beacon Falls, Ct.",130.00,130.00,130.00,150.00,150.00,TRUE,
06408,06408,"Cheshire, Ct.",170.00,170.00,170.00,170.00,170.00,TRUE,
06410,06410,"Cheshire, Ct.",175.00,175.00,175.00,175.00,175.00,TRUE,
06437,06437,"Guilford, Ct.",270.00,270.00,270.00,270.00,270.00,TRUE,
06457,06457,"Middletown, Ct.",250.00,250.00,250.00,250.00,250.00,TRUE,
06459,06459,"Middletown, Ct.",245.00,245.00,245.00,245.00,245.00,TRUE,
06460,06460,"Milford, Ct.",145.00,145.00,145.00,150.00,150.00,TRUE,
06461,06461,"Milford, Ct.",140.00,140.00,140.00,150.00,150.00,TRUE,
06468,06468,"Monroe, Ct.",85.00,100.00,100.00,$0.00,$0.00,TRUE,
06470,06470,"Newtown, Ct.",80.00,$0.00,$0.00,$0.00,$0.00,TRUE,
06478,06478,"Oxford, Ct.",105.00,105.00,105.00,150.00,150.00,TRUE,
06482,06482,"Sandy Hook, Ct.",80.00,$0.00,$0.00,$0.00,$0.00,TRUE,
06483,06483,"Seymour, Ct.",115.00,115.00,115.00,150.00,150.00,TRUE,
06484,06484,"Shelton, Ct.",110.00,110.00,110.00,150.00,150.00,TRUE,
06488,06488,"Southbury, Ct.",90.00,100.00,100.00,$0.00,$0.00,TRUE,
06514,06514,"Hamden, Ct.",180.00,180.00,180.00,180.00,180.00,TRUE,
06517,06517,"Hamden, Ct.",185.00,185.00,185.00,185.00,185.00,TRUE,
